easting,northing,height,dz_dx,dz_dy,tangent_x,tangent_y,tangent_derivative
3.334280157389062224e+05,4.979681341384312138e+06,2.244081999999999880e+03,3.226928297625982767e-01,-1.974273336076235175e-01,-6.918374748097176896e-01,7.220532587343631015e-01,-3.658040420767789125e-01
3.334273307578777312e+05,4.979682015083917417e+06,2.243653999999999996e+03,3.245735975263652762e-01,-1.969316052700968711e-01,-7.716958662527189095e-01,6.359917373743668723e-01,-3.757189772855217269e-01
3.334256897018196760e+05,4.979683258383524604e+06,2.242873999999999796e+03,3.250822284364666692e-01,-2.028717221906939372e-01,-8.118267530689309286e-01,5.838983841402175523e-01,-3.823669207668785042e-01
3.334247970222120639e+05,4.979683837448301725e+06,2.242452000000000226e+03,3.249902853166924399e-01,-2.068891634303413607e-01,-8.343721731113281637e-01,5.512014847018102959e-01,-3.852004646512788844e-01
3.334239204086548416e+05,4.979684427210878581e+06,2.241920999999999822e+03,3.237428660649513401e-01,-2.116958583143578876e-01,-8.343720723820783336e-01,5.512016371790235958e-01,-3.868091097644197340e-01
3.334230277293653926e+05,4.979685006275909953e+06,2.241385000000000218e+03,3.230149830430090740e-01,-2.167539488938741710e-01,-8.707016055588012726e-01,4.918116652513698783e-01,-3.878517849104035076e-01
3.334220222995963995e+05,4.979685499348762445e+06,2.240954000000000178e+03,3.212644668824857774e-01,-2.217462129112741098e-01,-9.232291829846503983e-01,3.842497569101310795e-01,-3.818066596888158859e-01
3.334209193170379149e+05,4.979685883801165037e+06,2.240586999999999989e+03,3.163811926374796024e-01,-2.275521752925021013e-01,-9.532700128646677262e-01,3.021196494321350401e-01,-3.703446870025595694e-01
3.334197675581254298e+05,4.979686213943466544e+06,2.240253000000000156e+03,3.141631193658899757e-01,-2.340120100400947811e-01,-9.661256466182029934e-01,2.580721506605455073e-01,-3.639130295524065639e-01
3.334185676016340149e+05,4.979686511993009597e+06,2.239952000000000226e+03,3.103640982989011587e-01,-2.403373900668022145e-01,-9.740465501265956894e-01,2.263477814922808529e-01,-3.567089142824619308e-01
3.334173431122949114e+05,4.979686777333311737e+06,2.239572000000000116e+03,3.078290031361625156e-01,-2.461694089621936088e-01,-9.719058982872147423e-01,2.353697620224869669e-01,-3.571216590165576243e-01
3.334149671539545525e+05,4.979687383925688453e+06,2.238597000000000207e+03,3.032330348938790388e-01,-2.523444378090867191e-01,-9.656108886615608622e-01,2.599915608211749718e-01,-3.584125445459469539e-01
3.334138235732234316e+05,4.979687724972228520e+06,2.238036999999999807e+03,2.982943888735118954e-01,-2.539720751296401513e-01,-9.413313936228898671e-01,3.374836401664354502e-01,-3.665052932035655631e-01
3.334126600901893107e+05,4.979688211048084311e+06,2.237501000000000204e+03,2.925813646881125774e-01,-2.548679915955831543e-01,-9.030067048683887432e-01,4.296264551476485227e-01,-3.737009657927199413e-01
3.334115000802636496e+05,4.979688830428077839e+06,2.237072999999999865e+03,2.870348274740530115e-01,-2.551976324183870548e-01,-8.784012029149983469e-01,4.779239758763770829e-01,-3.740968048513408917e-01
3.334103640247053700e+05,4.979689460300409235e+06,2.236561000000000149e+03,2.844057928592083062e-01,-2.559775132496475702e-01,-8.774013105697644477e-01,4.797571679615218465e-01,-3.723450622067862037e-01
3.334092586540951161e+05,4.979690056024914607e+06,2.235985000000000127e+03,2.823323399355117669e-01,-2.566948736026223865e-01,-8.713282460331656099e-01,4.907006089916407521e-01,-3.719644733562880168e-01
3.334081702178428532e+05,4.979690695773227140e+06,2.235407000000000153e+03,2.797531710010475736e-01,-2.562609594484581144e-01,-8.409653661694630467e-01,5.410889510084834209e-01,-3.739227016203581222e-01
3.334071159395509167e+05,4.979691434677605517e+06,2.234836999999999989e+03,2.784619806258453734e-01,-2.539134719886194103e-01,-7.960369457896709910e-01,6.052480325766061986e-01,-3.753466539417475989e-01
3.334061113063219236e+05,4.979692261218341067e+06,2.234226999999999862e+03,2.776428335148932169e-01,-2.531261126326131983e-01,-7.380599170046463486e-01,6.747351768739306976e-01,-3.757101390395136686e-01
3.334051884499910520e+05,4.979693196790652350e+06,2.233635999999999967e+03,2.769399612315994186e-01,-2.513919054908005934e-01,-6.635346510394133368e-01,7.481455519282355082e-01,-3.718369964183838028e-01
3.334043552588144084e+05,4.979694241188987158e+06,2.233068999999999960e+03,2.782032514491258879e-01,-2.515941423561695589e-01,-5.869985938364249423e-01,8.095879512653705312e-01,-3.669925036618575387e-01
3.334036111539447447e+05,4.979695372195990756e+06,2.232588999999999942e+03,2.802206697506383071e-01,-2.517581593652862826e-01,-5.096886737275475587e-01,8.603589110794712669e-01,-3.594276773631376320e-01
3.334029640236068517e+05,4.979696589606109075e+06,2.232170000000000073e+03,2.823999421385383068e-01,-2.517727644710850421e-01,-4.289706012970805338e-01,9.033184506157401206e-01,-3.485722564946917013e-01
3.334024138677771552e+05,4.979697893419316038e+06,2.231768000000000029e+03,2.846687132361708783e-01,-2.502047973950882187e-01,-3.503677550702715693e-01,9.366122122879982914e-01,-3.340836068085840660e-01
3.334019603969947202e+05,4.979699272526919842e+06,2.231416000000000167e+03,2.854578454935883247e-01,-2.465542274415309099e-01,-2.953087247318909037e-01,9.554018825066362686e-01,-3.198565653550327070e-01
3.334015548346790019e+05,4.979700672618744895e+06,2.231068999999999960e+03,2.854594775947586482e-01,-2.394122770975959380e-01,-2.664800337379090167e-01,9.638404388793007094e-01,-3.068244854510968067e-01
3.334011740949761588e+05,4.979702116528671235e+06,2.230733000000000175e+03,2.855502660130205816e-01,-2.286627001675695936e-01,-2.490661914013927725e-01,9.684864646967478174e-01,-2.925776473028195435e-01
3.334008094213570002e+05,4.979703571136238985e+06,2.230353000000000065e+03,2.881744425666196707e-01,-2.161960905408379374e-01,-2.451190124406975590e-01,9.694929962305540716e-01,-2.802376303643474564e-01
3.334004441690635867e+05,4.979705003526513465e+06,2.229927999999999884e+03,2.939181675624726875e-01,-2.001129472465338066e-01,-2.730630593226839320e-01,9.619961359763022912e-01,-2.727660760351211522e-01
3.333996237108145724e+05,4.979707748372673057e+06,2.229005999999999858e+03,3.110976767145956501e-01,-1.733723988201559263e-01,-3.057886122447190380e-01,9.520994300079425043e-01,-2.601978889308925735e-01
3.333991372414272046e+05,4.979709072759335861e+06,2.228494000000000142e+03,3.210802456336939725e-01,-1.613639285406583412e-01,-3.881247669688150936e-01,9.216068387687902375e-01,-2.733332955885364735e-01
3.333985160936537432e+05,4.979710378422690555e+06,2.228036000000000058e+03,3.288861859115408959e-01,-1.555399435021236620e-01,-4.533909656270068145e-01,8.913117480925571989e-01,-2.877486043529122739e-01
3.333978306826562621e+05,4.979711641295699403e+06,2.227550000000000182e+03,3.372047320923280966e-01,-1.550712253233747784e-01,-4.901437402558818102e-01,8.716416200985211971e-01,-3.004453226912455199e-01
3.333971204495395068e+05,4.979712860350739211e+06,2.227014999999999873e+03,3.380236408197310194e-01,-1.524549095764684559e-01,-5.404701221203580541e-01,8.413632075953909606e-01,-3.109616301683308937e-01
3.333962983344924869e+05,4.979714026739988476e+06,2.226476000000000113e+03,3.375664355983390430e-01,-1.556071897776588331e-01,-6.121193909221845919e-01,7.907653579014786160e-01,-3.296797360708018099e-01
3.333953640481095063e+05,4.979715129354835488e+06,2.225931000000000040e+03,3.330932405693293186e-01,-1.613591102053678339e-01,-6.756448073060214998e-01,7.372273016922318289e-01,-3.440110597595655850e-01
3.333943257680719253e+05,4.979716179098452441e+06,2.225402999999999793e+03,3.255307615280554900e-01,-1.671015035696704343e-01,-7.444522030054834261e-01,6.676757577149873280e-01,-3.539117155768069511e-01
3.333931811788320774e+05,4.979717087101609446e+06,2.224934999999999945e+03,3.131733697751019063e-01,-1.717073688738776083e-01,-8.353768658182563200e-01,5.496776255730871918e-01,-3.560014869164617179e-01
3.333906317634549923e+05,4.979718609751933254e+06,2.224077999999999975e+03,2.888578738023326875e-01,-1.840456172632421172e-01,-8.739413123476050815e-01,4.860314625331839666e-01,-3.418967898440257169e-01
3.333892596479007043e+05,4.979719268011685461e+06,2.223666999999999916e+03,2.729864192681211721e-01,-1.894560850141176755e-01,-9.112663488330711159e-01,4.118174856467894385e-01,-3.267846661384730123e-01
3.333878387560907286e+05,4.979719871961683035e+06,2.223302999999999884e+03,2.620458408959266405e-01,-1.957077383334588361e-01,-9.259333111401267802e-01,3.776870441530674194e-01,-3.165532503403102327e-01
