easting,northing,tangent_derivative,inclination_deg
3.334353071571583860e+05,4.979667011642616242e+06,-3.473183069580518256e-01,-1.915305024248344878e+01
3.334352048236692208e+05,4.979667325561820529e+06,-3.258250248122697146e-01,-1.804690572788485881e+01
3.334351433783909306e+05,4.979667693996917456e+06,-3.067300198207846829e-01,-1.705234875678050699e+01
3.334350763598014601e+05,4.979668151506775990e+06,-3.170240307177897288e-01,-1.758986621169719555e+01
3.334349476819089614e+05,4.979668666203784756e+06,-3.396338445066154343e-01,-1.875922584968940754e+01
3.334345807585427538e+05,4.979669731800533831e+06,-3.442219839104803114e-01,-1.899458919838540183e+01
3.334343734874210786e+05,4.979670259661034681e+06,-3.431737658966004245e-01,-1.894087580148156746e+01
3.334341670844485052e+05,4.979670820847522467e+06,-3.275835600915897872e-01,-1.813794520162837998e+01
3.334339936814376269e+05,4.979671436755386181e+06,-3.074483320251311103e-01,-1.708995829268125632e+01
3.334338456794899539e+05,4.979672118698768318e+06,-3.009883882863217952e-01,-1.675118465658248823e+01
3.334336439065836603e+05,4.979672857623832300e+06,-3.042669302292271283e-01,-1.692327090911946641e+01
3.334333866265102988e+05,4.979673586878630333e+06,-3.068049643515020075e-01,-1.705627342600985585e+01
3.334330983721949160e+05,4.979674339172694832e+06,-3.018793745808239226e-01,-1.679798226636565062e+01
3.334328095392065006e+05,4.979675069249456748e+06,-3.048803610077961412e-01,-1.695543426590038294e+01
3.334321597216027440e+05,4.979676486817749217e+06,-3.124596756230667016e-01,-1.735191974856702046e+01
3.334317192756509176e+05,4.979677154146824963e+06,-3.411303023378124966e-01,-1.883606408472880744e+01
3.334311371305125067e+05,4.979677836283343844e+06,-3.494545047993699027e-01,-1.926219776734158984e+01
3.334305397877403302e+05,4.979678541048215702e+06,-3.520535086927039092e-01,-1.939479629792260340e+01
3.334299187803316163e+05,4.979679246429610066e+06,-3.556911210596604977e-01,-1.958002112749044699e+01
3.334292817071700701e+05,4.979679941113386303e+06,-3.595617418010598199e-01,-1.977664383720385288e+01
3.334286525224047946e+05,4.979680635591740720e+06,-3.611129382750247752e-01,-1.985530698132149041e+01
3.334280157389062224e+05,4.979681341384312138e+06,-3.663542326037587671e-01,-2.012052217011482469e+01
3.334273307578777312e+05,4.979682015083917417e+06,-3.802108849661203216e-01,-2.081734848592688891e+01
3.334256897018196760e+05,4.979683258383524604e+06,-3.868547790580469936e-01,-2.114920041533800443e+01
3.334247970222120639e+05,4.979683837448301725e+06,-3.897428280102422371e-01,-2.129299292930695486e+01
3.334239204086548416e+05,4.979684427210878581e+06,-3.892179640586963529e-01,-2.126688142451653718e+01
3.334230277293653926e+05,4.979685006275909953e+06,-3.886459552259200478e-01,-2.123841395245686314e+01
3.334220222995963995e+05,4.979685499348762445e+06,-3.834733310157526498e-01,-2.098048669901927354e+01
3.334209193170379149e+05,4.979685883801165037e+06,-3.738548514583324156e-01,-2.049850056842117496e+01
3.334197675581254298e+05,4.979686213943466544e+06,-3.645130535220044155e-01,-2.002745830454005116e+01
3.334185676016340149e+05,4.979686511993009597e+06,-3.587942132218244762e-01,-1.973769272677230191e+01
3.334173431122949114e+05,4.979686777333311737e+06,-3.612656096968414055e-01,-1.986304493399228122e+01
3.334149671539545525e+05,4.979687383925688453e+06,-3.607396221100955813e-01,-1.983638275739905410e+01
3.334138235732234316e+05,4.979687724972228520e+06,-3.699675976543125300e-01,-2.030284072796438011e+01
3.334126600901893107e+05,4.979688211048084311e+06,-3.794423510380133813e-01,-2.077886646986174313e+01
3.334115000802636496e+05,4.979688830428077839e+06,-3.812837995633346355e-01,-2.087103858620625374e+01
3.334103640247053700e+05,4.979689460300409235e+06,-3.754219698868561106e-01,-2.057723863448952883e+01
3.334092586540951161e+05,4.979690056024914607e+06,-3.732869189543346344e-01,-2.046994544888271861e+01
3.334081702178428532e+05,4.979690695773227140e+06,-3.746685105280346262e-01,-2.053939205373778165e+01
3.334071159395509167e+05,4.979691434677605517e+06,-3.754835043935252359e-01,-2.058032871023629085e+01
3.334061113063219236e+05,4.979692261218341067e+06,-3.741396116671962813e-01,-2.051281404438876166e+01
3.334051884499910520e+05,4.979693196790652350e+06,-3.702335401767332668e-01,-2.031624242255829316e+01
3.334043552588144084e+05,4.979694241188987158e+06,-3.642774632825349634e-01,-2.001554223975928082e+01
3.334036111539447447e+05,4.979695372195990756e+06,-3.565818460317358163e-01,-1.962531157526124659e+01
3.334029640236068517e+05,4.979696589606109075e+06,-3.465606418698383706e-01,-1.911430310799592647e+01
3.334024138677771552e+05,4.979697893419316038e+06,-3.349514103890482986e-01,-1.851834636849733684e+01
3.334019603969947202e+05,4.979699272526919842e+06,-3.249597574708825154e-01,-1.800207612996094397e+01
3.334015548346790019e+05,4.979700672618744895e+06,-3.136571900804901447e-01,-1.741440806430595600e+01
3.334011740949761588e+05,4.979702116528671235e+06,-2.969487840780148935e-01,-1.653872288270457958e+01
3.334008094213570002e+05,4.979703571136238985e+06,-2.779806505170933639e-01,-1.553490153686884945e+01
3.334004441690635867e+05,4.979705003526513465e+06,-2.681358942266287571e-01,-1.500998018078567853e+01
3.333996237108145724e+05,4.979707748372673057e+06,-2.532891471264823169e-01,-1.421347444467376242e+01
3.333991372414272046e+05,4.979709072759335861e+06,-2.707595655802789159e-01,-1.515013023241007417e+01
3.333985160936537432e+05,4.979710378422690555e+06,-2.866451527151498424e-01,-1.599469325331240732e+01
3.333978306826562621e+05,4.979711641295699403e+06,-2.935265453130509461e-01,-1.635836418104711498e+01
3.333971204495395068e+05,4.979712860350739211e+06,-3.048377707867940822e-01,-1.695320153397302576e+01
3.333962983344924869e+05,4.979714026739988476e+06,-3.224564735230660006e-01,-1.787225239893931672e+01
3.333953640481095063e+05,4.979715129354835488e+06,-3.348845178761403751e-01,-1.851490025996830013e+01
