easting,northing,dz_dx,dz_dy,inclination_deg
3.334071159395509167e+05,4.979691434677605517e+06,2.707902190790077435e-01,-2.642296659228122180e-01,2.072386737879871532e+01
3.334061113063219236e+05,4.979692261218341067e+06,2.677416498405481571e-01,-2.616289143617268609e-01,2.052321012333057126e+01
3.334051884499910520e+05,4.979693196790652350e+06,2.655309347302217127e-01,-2.593673965717298580e-01,2.036415827169934545e+01
3.334043552588144084e+05,4.979694241188987158e+06,2.641277770654632540e-01,-2.584460764577057867e-01,2.028115453335319884e+01
3.334036111539447447e+05,4.979695372195990756e+06,2.629880673384575318e-01,-2.586592687284556824e-01,2.024765950307985563e+01
3.334029640236068517e+05,4.979696589606109075e+06,2.622984678119062441e-01,-2.590916971237871569e-01,2.023819890400019972e+01
3.334024138677771552e+05,4.979697893419316038e+06,2.623910476318902507e-01,-2.594649577396292983e-01,2.025475274669999948e+01
3.334019603969947202e+05,4.979699272526919842e+06,2.623894443829972722e-01,-2.590259343196460451e-01,2.023913338036095766e+01
3.334015548346790019e+05,4.979700672618744895e+06,2.636655354241435600e-01,-2.525268493487855537e-01,2.005653658869008638e+01
3.334011740949761588e+05,4.979702116528671235e+06,2.686451806714202362e-01,-2.375235591566834670e-01,1.972738868841316418e+01
3.334008094213570002e+05,4.979703571136238985e+06,2.794796772840141275e-01,-2.160664067078788553e-01,1.945634581614599057e+01
3.334004441690635867e+05,4.979705003526513465e+06,2.939215673268055218e-01,-1.952988840862466269e-01,1.943744108688324701e+01
3.333996237108145724e+05,4.979707748372673057e+06,3.203632005232086577e-01,-1.631402390640208089e-01,1.977400997735609067e+01
3.333991372414272046e+05,4.979709072759335861e+06,3.318985533672079158e-01,-1.540152600071518496e-01,2.009719587548818609e+01
3.333985160936537432e+05,4.979710378422690555e+06,3.399158130851950843e-01,-1.486914026121437804e-01,2.035559316350993342e+01
3.333978306826562621e+05,4.979711641295699403e+06,3.428719515532752671e-01,-1.439467800260768870e-01,2.039828916075743237e+01
3.333971204495395068e+05,4.979712860350739211e+06,3.409886190996105348e-01,-1.432717868955643847e-01,2.029766477711078920e+01
3.333962983344924869e+05,4.979714026739988476e+06,3.382651280344888822e-01,-1.459318219081080226e-01,2.022385442499003361e+01
3.333953640481095063e+05,4.979715129354835488e+06,3.318250679984069973e-01,-1.501417995440137154e-01,2.001223461528005032e+01
3.333943257680719253e+05,4.979716179098452441e+06,3.237788289185943302e-01,-1.548719756059402930e-01,1.974368811984239969e+01
3.333931811788320774e+05,4.979717087101609446e+06,3.158962082034660335e-01,-1.616296411061621530e-01,1.953694501308729414e+01
3.333906317634549923e+05,4.979718609751933254e+06,3.017702637028123469e-01,-1.740966222570332345e-01,1.920777690413811811e+01
3.333892596479007043e+05,4.979719268011685461e+06,2.924918243094698500e-01,-1.819404428507064575e-01,1.900686274571428669e+01
3.333878387560907286e+05,4.979719871961683035e+06,2.792254167977972212e-01,-1.893043050709488084e-01,1.864166511898960721e+01
3.333863775551240542e+05,4.979720443613738753e+06,2.661364806974588215e-01,-1.962797540334994817e-01,1.829841649054732144e+01
3.333849236636901041e+05,4.979720992843268439e+06,2.535436360919159915e-01,-2.046175478620021193e-01,1.804617201545326566e+01
3.333834861278314493e+05,4.979721563879364170e+06,2.399549857048585422e-01,-2.125120373152201980e-01,1.777223614921499362e+01
3.333820965003822348e+05,4.979722155899819918e+06,2.264559656517708131e-01,-2.178268071003434114e-01,1.744348070049760224e+01
3.333807471826078254e+05,4.979722780218818225e+06,2.179304482339357307e-01,-2.200319026623915597e-01,1.720721533139829162e+01
3.333794475100758718e+05,4.979723492174081504e+06,2.113492402321784924e-01,-2.195948057188267244e-01,1.695013261621549105e+01
3.333771390885363799e+05,4.979725175293315202e+06,1.950773087720046872e-01,-2.231759589548505396e-01,1.651068571338505109e+01
3.333761388067106018e+05,4.979726168468944728e+06,1.887506611445294302e-01,-2.251370350260065434e-01,1.637234436393509185e+01
3.333752378152462770e+05,4.979727336916626431e+06,1.857715938956024659e-01,-2.296488959942686314e-01,1.645611826919864740e+01
3.333744478378538042e+05,4.979728524703956209e+06,1.855658111888632555e-01,-2.352540762349963066e-01,1.667988216972091919e+01
3.333738334274585941e+05,4.979729785729724914e+06,1.857592908482494642e-01,-2.412997783499328530e-01,1.693651248847811175e+01
3.333733636101677548e+05,4.979731143033436500e+06,1.862236678364118103e-01,-2.463950091220086236e-01,1.716342469440541407e+01
3.333729904777936172e+05,4.979732575631096959e+06,1.867397067872305083e-01,-2.517540232950875589e-01,1.740367480763113406e+01
3.333727207605476724e+05,4.979734038882486522e+06,1.855609936665646442e-01,-2.537799527379340225e-01,1.745230073856818720e+01
3.333724910633657128e+05,4.979735523323412053e+06,1.849817889503231338e-01,-2.505090399990876904e-01,1.729684696448960679e+01
3.333720074258739478e+05,4.979738470604666509e+06,1.848459676974033294e-01,-2.330153494876867626e-01,1.656401980922129624e+01
3.333717765711544198e+05,4.979739910610991530e+06,1.867178912694461568e-01,-2.256692121991880629e-01,1.632528563544542521e+01
3.333715290717414464e+05,4.979741317702472210e+06,1.914639664173891642e-01,-2.255858265241860727e-01,1.648264921271038475e+01
3.333712015327080153e+05,4.979742682414949872e+06,1.997329440935608214e-01,-2.296141594880007075e-01,1.692650611309943542e+01
3.333707305591756012e+05,4.979743995284277014e+06,2.142257274106093290e-01,-2.318202463262437618e-01,1.751816664633793152e+01
3.333701403947268846e+05,4.979745277911118232e+06,2.282306633760670667e-01,-2.344444791665590833e-01,1.811759091873917527e+01
3.333694544144601678e+05,4.979746518570153974e+06,2.426580770675831333e-01,-2.385110366211632693e-01,1.879090168795565674e+01
3.333686805065887165e+05,4.979747717055850662e+06,2.522555900753279401e-01,-2.461884509303987056e-01,1.941649768888592931e+01
3.333677789407838136e+05,4.979748863287411630e+06,2.606642470996080041e-01,-2.565743131797476040e-01,2.009021161117498622e+01
3.333656513089474174e+05,4.979750819605228491e+06,2.745887992269109290e-01,-2.815573547914469454e-01,2.146899913770011992e+01
3.333644573745673988e+05,4.979751651086629368e+06,2.783047473294321117e-01,-2.927125444655935826e-01,2.199371875729978498e+01
3.333631577097830595e+05,4.979752363045433536e+06,2.830882854876740073e-01,-3.012891277133256107e-01,2.246106273202506998e+01
3.333617683803908294e+05,4.979752966179216281e+06,2.880269534310344048e-01,-3.064624562225460869e-01,2.281014060295932921e+01
3.333603299852046184e+05,4.979753503894798458e+06,2.919820521407884284e-01,-3.072080251331854583e-01,2.296859745377219042e+01
3.333588910112284357e+05,4.979754019393389113e+06,2.933020147581179571e-01,-3.053727995591534738e-01,2.294843372494273481e+01
3.333574835901365150e+05,4.979754534069991671e+06,2.953840389350693152e-01,-3.033862265833704441e-01,2.294936971080655752e+01
3.333561158996014856e+05,4.979755058827663772e+06,2.933122485023302861e-01,-3.020725479775753231e-01,2.283334098370244547e+01
3.333547800514562987e+05,4.979755593871964142e+06,2.892532973077149294e-01,-3.035262161988149798e-01,2.274732468825949283e+01
3.333523542653836776e+05,4.979757013270985335e+06,2.769959052029800639e-01,-3.178379730458118502e-01,2.286035439831381311e+01
3.333512981963757193e+05,4.979757985672556795e+06,2.720290664339852227e-01,-3.255201981165101732e-01,2.298766251628691037e+01
3.333503464109336492e+05,4.979759022053624503e+06,2.672936489802399951e-01,-3.321365014303108154e-01,2.309019263624360363e+01
3.333494752445605700e+05,4.979760123030913062e+06,2.637700867068441535e-01,-3.356180606402861533e-01,2.311596318436775022e+01
3.333487171184614999e+05,4.979761321108008735e+06,2.612763448581811310e-01,-3.370025539088062350e-01,2.309448501084893124e+01
3.333481433155542472e+05,4.979762625543210655e+06,2.627184463504571577e-01,-3.384397158311532317e-01,2.319231821421312389e+01
3.333477462371365400e+05,4.979764047650718130e+06,2.666969017385488749e-01,-3.409018958649134845e-01,2.340438252297269273e+01
3.333474779751413153e+05,4.979765566446728073e+06,2.690878084254462177e-01,-3.421839446386541472e-01,2.352415687395265564e+01
3.333472894634059048e+05,4.979767116512815468e+06,2.684943085553440079e-01,-3.422729079991145840e-01,2.350986740315365253e+01
3.333469209075064864e+05,4.979770238656750880e+06,2.575856998520604235e-01,-3.393427393222885335e-01,2.307559182634974349e+01
3.333467478828909807e+05,4.979771777203022502e+06,2.465205068125628507e-01,-3.393376718486378896e-01,2.275469035872753665e+01
3.333465897660786286e+05,4.979773282012133859e+06,2.357776039106141697e-01,-3.416368658417121562e-01,2.254326798070984594e+01
3.333463919191260356e+05,4.979774776740564033e+06,2.252683406383801656e-01,-3.443927139333088361e-01,2.236835174196313147e+01
3.333461543420592789e+05,4.979776261388313957e+06,2.230873812081959617e-01,-3.447074170194862064e-01,2.232298293140529921e+01
3.333457102258638479e+05,4.979777695838237181e+06,2.234478508024400345e-01,-3.445976549270650668e-01,2.232807512785137050e+01
3.333450432153193979e+05,4.979779058284249157e+06,2.254416522839925996e-01,-3.402023072876613208e-01,2.220133036294150486e+01
3.333442795207001036e+05,4.979780345436871052e+06,2.249638162221917481e-01,-3.330745610959082170e-01,2.189665327092513181e+01
3.333433241948897485e+05,4.979781548654653132e+06,2.212795519812240375e-01,-3.246866317924701484e-01,2.145085130048000011e+01
3.333409213657705695e+05,4.979783545503188856e+06,2.179647016143696492e-01,-3.198343113659796177e-01,2.115860045954186575e+01
3.333395448556150077e+05,4.979784337283701636e+06,2.154462131199691155e-01,-3.225485815118321331e-01,2.120051865139381064e+01
3.333381187006324762e+05,4.979785041428854689e+06,2.179134339787591468e-01,-3.252672305533759189e-01,2.138115436504470068e+01
3.333366513680064818e+05,4.979785679950398393e+06,2.265302614820379756e-01,-3.241850367465023419e-01,2.157827387253249540e+01
3.333351676802982111e+05,4.979786296666179784e+06,2.349887927606022497e-01,-3.225064450792641257e-01,2.175380432136213571e+01
3.333336766838462790e+05,4.979786935805248097e+06,2.407552210826326700e-01,-3.199765218216837903e-01,2.182288365764732774e+01
3.333322259969868464e+05,4.979787607242594473e+06,2.410518291930888457e-01,-3.188573035797995781e-01,2.178757109087028709e+01
3.333308302377394866e+05,4.979788266132324003e+06,2.350630160086560061e-01,-3.195841689226191495e-01,2.163933652051901291e+01
3.333294677686481155e+05,4.979788990851872601e+06,2.307885536879991095e-01,-3.244057733336376259e-01,2.170867251238297868e+01
3.333270258653011988e+05,4.979790699703092687e+06,2.308634726804403847e-01,-3.411540080998537450e-01,2.238809405550463794e+01
3.333259622073234059e+05,4.979791683423419483e+06,2.337442412422043037e-01,-3.474742263777982898e-01,2.272284532761053555e+01
3.333250361225798842e+05,4.979792796952313744e+06,2.364485082639903868e-01,-3.523151328244192304e-01,2.299170466304730098e+01
3.333242554991825018e+05,4.979794040084094740e+06,2.380548379015346716e-01,-3.524786586258822352e-01,2.304183022195735830e+01
3.333235958040287369e+05,4.979795380109593272e+06,2.392649394152517039e-01,-3.465635838858877049e-01,2.283762464806218873e+01
3.333230956089319661e+05,4.979796782674668357e+06,2.429676873819800464e-01,-3.407503697274103516e-01,2.270941856222389887e+01
